Function,Subfunction,Year,Budget,Amount
050,050,2018,President's Budget,0
050,051,2018,President's Budget,595851
050,053,2018,President's Budget,21699
050,054,2018,President's Budget,8689
150,151,2018,President's Budget,23748
150,152,2018,President's Budget,11831
150,153,2018,President's Budget,12776
150,154,2018,President's Budget,1639
150,155,2018,President's Budget,-5515
250,251,2018,President's Budget,12732
250,252,2018,President's Budget,19074
270,270,2018,President's Budget,0
270,271,2018,President's Budget,3048
270,272,2018,President's Budget,569
270,274,2018,President's Budget,-767
270,276,2018,President's Budget,536
300,301,2018,President's Budget,8549
300,302,2018,President's Budget,12731
300,303,2018,President's Budget,4221
300,304,2018,President's Budget,7950
300,306,2018,President's Budget,8450
350,350,2018,President's Budget,0
350,351,2018,President's Budget,18287
350,352,2018,President's Budget,5709
370,371,2018,President's Budget,-4203
370,372,2018,President's Budget,-1121
370,373,2018,President's Budget,-14013
370,376,2018,President's Budget,18929
400,400,2018,President's Budget,0
400,401,2018,President's Budget,61675
400,402,2018,President's Budget,21161
400,403,2018,President's Budget,10682
400,407,2018,President's Budget,493
450,451,2018,President's Budget,7355
450,452,2018,President's Budget,3527
450,453,2018,President's Budget,40587
500,501,2018,President's Budget,41607
500,502,2018,President's Budget,27894
500,503,2018,President's Budget,3703
500,504,2018,President's Budget,7121
500,505,2018,President's Budget,1945
500,506,2018,President's Budget,19962
550,550,2018,President's Budget,0
550,551,2018,President's Budget,512970
550,552,2018,President's Budget,35274
550,554,2018,President's Budget,4182
570,570,2018,President's Budget,0
570,571,2018,President's Budget,590353
600,600,2018,President's Budget,0
600,601,2018,President's Budget,3668
600,602,2018,President's Budget,140590
600,603,2018,President's Budget,31597
600,604,2018,President's Budget,50972
600,605,2018,President's Budget,99606
600,609,2018,President's Budget,172839
650,651,2018,President's Budget,990440
700,700,2018,President's Budget,0
700,701,2018,President's Budget,82808
700,702,2018,President's Budget,13040
700,703,2018,President's Budget,73374
700,704,2018,President's Budget,-1338
700,705,2018,President's Budget,8219
750,751,2018,President's Budget,31340
750,752,2018,President's Budget,17357
750,753,2018,President's Budget,7252
750,754,2018,President's Budget,5623
800,801,2018,President's Budget,4159
800,802,2018,President's Budget,522
800,803,2018,President's Budget,12272
800,804,2018,President's Budget,-143
800,805,2018,President's Budget,103
800,806,2018,President's Budget,7304
800,808,2018,President's Budget,3847
800,809,2018,President's Budget,-3750
900,901,2018,President's Budget,517442
900,902,2018,President's Budget,-68833
900,903,2018,President's Budget,-84400
900,908,2018,President's Budget,-47257
900,909,2018,President's Budget,-1461
920,920,2018,President's Budget,0
920,922,2018,President's Budget,0
920,923,2018,President's Budget,0
920,924,2018,President's Budget,0
920,925,2018,President's Budget,0
920,927,2018,President's Budget,0
920,928,2018,President's Budget,0
920,929,2018,President's Budget,0
950,951,2018,President's Budget,-70381
950,952,2018,President's Budget,-17246
950,953,2018,President's Budget,-4800
950,959,2018,President's Budget,-5301
990,999,2018,President's Budget,0
050,050,2019,President's Budget,0
050,051,2019,President's Budget,643949
050,053,2019,President's Budget,22723
050,054,2019,President's Budget,8711
150,151,2019,President's Budget,22599
150,152,2019,President's Budget,12435
150,153,2019,President's Budget,11654
150,154,2019,President's Budget,1272
150,155,2019,President's Budget,-3459
250,251,2019,President's Budget,12984
250,252,2019,President's Budget,19453
270,270,2019,President's Budget,50
270,271,2019,President's Budget,3002
270,272,2019,President's Budget,389
270,274,2019,President's Budget,-582
270,276,2019,President's Budget,510
300,301,2019,President's Budget,8467
300,302,2019,President's Budget,13653
300,303,2019,President's Budget,4213
300,304,2019,President's Budget,7190
300,306,2019,President's Budget,6895
350,350,2019,President's Budget,0
350,351,2019,President's Budget,14449
350,352,2019,President's Budget,6283
370,371,2019,President's Budget,-11106
370,372,2019,President's Budget,-1311
370,373,2019,President's Budget,-8893
370,376,2019,President's Budget,24273
400,400,2019,President's Budget,70
400,401,2019,President's Budget,62212
400,402,2019,President's Budget,20112
400,403,2019,President's Budget,11401
400,407,2019,President's Budget,532
450,451,2019,President's Budget,11842
450,452,2019,President's Budget,43492
450,453,2019,President's Budget,18744
500,501,2019,President's Budget,41716
500,502,2019,President's Budget,32979
500,503,2019,President's Budget,3232
500,504,2019,President's Budget,7112
500,505,2019,President's Budget,1820
500,506,2019,President's Budget,18298
550,550,2019,President's Budget,0
550,551,2019,President's Budget,535510
550,552,2019,President's Budget,36701
550,554,2019,President's Budget,5050
570,570,2019,President's Budget,0
570,571,2019,President's Budget,647381
600,600,2019,President's Budget,29
600,601,2019,President's Budget,3687
600,602,2019,President's Budget,149130
600,603,2019,President's Budget,29433
600,604,2019,President's Budget,47890
600,605,2019,President's Budget,95597
600,609,2019,President's Budget,186237
650,651,2019,President's Budget,1048385
700,700,2019,President's Budget,1
700,701,2019,President's Budget,94318
700,702,2019,President's Budget,14474
700,703,2019,President's Budget,75923
700,704,2019,President's Budget,1234
700,705,2019,President's Budget,8356
750,751,2019,President's Budget,33082
750,752,2019,President's Budget,16495
750,753,2019,President's Budget,7147
750,754,2019,President's Budget,7067
800,801,2019,President's Budget,4439
800,802,2019,President's Budget,440
800,803,2019,President's Budget,12228
800,804,2019,President's Budget,-127
800,805,2019,President's Budget,151
800,806,2019,President's Budget,7236
800,808,2019,President's Budget,4387
800,809,2019,President's Budget,-3750
900,901,2019,President's Budget,595569
900,902,2019,President's Budget,-73402
900,903,2019,President's Budget,-80700
900,908,2019,President's Budget,-53161
900,909,2019,President's Budget,-829
920,920,2019,President's Budget,999
920,922,2019,President's Budget,0
920,923,2019,President's Budget,120
920,924,2019,President's Budget,0
920,925,2019,President's Budget,0
920,927,2019,President's Budget,15
920,928,2019,President's Budget,0
920,929,2019,President's Budget,0
950,951,2019,President's Budget,-75901
950,952,2019,President's Budget,-17817
950,953,2019,President's Budget,-5100
950,959,2019,President's Budget,-2801
990,999,2019,President's Budget,0
050,050,2020,President's Budget,-754
050,051,2020,President's Budget,676750
050,053,2020,President's Budget,23691
050,054,2020,President's Budget,9025
150,151,2020,President's Budget,18741
150,152,2020,President's Budget,12191
150,153,2020,President's Budget,10008
150,154,2020,President's Budget,1015
150,155,2020,President's Budget,-1650
250,251,2020,President's Budget,12108
250,252,2020,President's Budget,19224
270,270,2020,President's Budget,0
270,271,2020,President's Budget,2128
270,272,2020,President's Budget,339
270,274,2020,President's Budget,-523
